SampleID,FGA
65,0.3688
513,0.8288
678,0.0527
742,0.1756
855,0.3158
2278,0.1369
2343,0.3159
2630,0.1245
2956,0.0007
3273,0.1795
3784,0.7846
4586,0.0957
6117,0.1832
8506,0.2328
8893,0.2131
11443,0.1893
11507,0.1959
11803,0.0038
11961,0.0099
12501,0.3113
12916,0.6463
15781,0.0341
16569,0.0104
17062,0.5207
