SampleID,FGA
4586,0.1344
855,0.3573
2343,0.4472
16569,0.0552
8893,0.3163
65,0.4059
3784,0.6159
6117,0.2865
17062,0.5967
742,0.2202
11803,0.059
11961,0.0544
8506,0.3814
2956,0.0553
12916,0.7747
513,0.6603
2278,0.2055
11507,0.318
12501,0.5532
2630,0.1744
15781,0.084
11443,0.2849
678,0.118
4971,0.0465
3273,0.0705
