SampleID,FGA
4586,0.1321
855,0.3545
2343,0.3949
16569,0.0516
8893,0.3102
65,0.3781
3784,0.5914
6117,0.2324
17062,0.5428
742,0.2173
11803,0.054
11961,0.0517
8506,0.3273
2956,0.0392
12916,0.7258
513,0.6287
2278,0.2031
11507,0.3145
12501,0.5315
2630,0.1714
15781,0.0815
11443,0.2477
678,0.1151
4971,0.0443
3273,0.0664
